Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1337,0,1,[62.07],62.07,62.07
MORDRED,1337,1,2,[29.45],29.45,62.07
MORDRED,1337,2,3,[0.0],0.0,62.07
MORDRED,1337,3,4,[21.5],21.5,62.07
MORDRED,1337,4,5,[95.48],95.48,95.48
MORDRED,1337,5,6,[30.41],30.41,95.48
MORDRED,1337,6,7,[81.48],81.48,95.48
MORDRED,1337,7,8,[1.62],1.62,95.48
MORDRED,1337,8,9,[23.23],23.23,95.48
MORDRED,1337,9,10,[18.61],18.61,95.48
MORDRED,1337,10,11,[19.13],19.13,95.48
MORDRED,1337,11,12,[83.62],83.62,95.48
MORDRED,1337,12,13,[50.7],50.7,95.48
MORDRED,1337,13,14,[7.12],7.12,95.48
MORDRED,1337,14,15,[66.84],66.84,95.48
MORDRED,1337,15,16,[12.14],12.14,95.48
MORDRED,1337,16,17,[45.01],45.01,95.48
MORDRED,1337,17,18,[1.68],1.68,95.48
MORDRED,1337,18,19,[3.6],3.6,95.48
MORDRED,1337,19,20,[77.52],77.52,95.48
MORDRED,1337,20,21,[45.73],45.73,95.48
MORDRED,1337,21,22,[5.24],5.24,95.48
MORDRED,1337,22,23,[99.81],99.81,99.81
MORDRED,1337,23,24,[89.95],89.95,99.81
MORDRED,1337,24,25,[92.19],92.19,99.81
MORDRED,1337,25,26,[92.03],92.03,99.81
MORDRED,1337,26,27,[99.22],99.22,99.81
MORDRED,1337,27,28,[98.38],98.38,99.81
MORDRED,1337,28,29,[87.59],87.59,99.81
MORDRED,1337,29,30,[81.63],81.63,99.81
MORDRED,1337,30,31,[83.85],83.85,99.81
MORDRED,1337,31,32,[79.1],79.1,99.81
MORDRED,1337,32,33,[78.93],78.93,99.81
MORDRED,1337,33,34,[7.5],7.5,99.81
MORDRED,1337,34,35,[98.49],98.49,99.81
MORDRED,1337,35,36,[61.09],61.09,99.81
MORDRED,1337,36,37,[39.57],39.57,99.81
MORDRED,1337,37,38,[96.64],96.64,99.81
MORDRED,1337,38,39,[83.22],83.22,99.81
MORDRED,1337,39,40,[99.98],99.98,99.98
MORDRED,1338,0,1,[0.0],0.0,0.0
MORDRED,1338,1,2,[6.77],6.77,6.77
MORDRED,1338,2,3,[15.92],15.92,15.92
MORDRED,1338,3,4,[26.3],26.3,26.3
MORDRED,1338,4,5,[0.86],0.86,26.3
MORDRED,1338,5,6,[68.17],68.17,68.17
MORDRED,1338,6,7,[92.19],92.19,92.19
MORDRED,1338,7,8,[99.81],99.81,99.81
MORDRED,1338,8,9,[98.38],98.38,99.81
MORDRED,1338,9,10,[61.09],61.09,99.81
MORDRED,1338,10,11,[99.22],99.22,99.81
MORDRED,1338,11,12,[95.48],95.48,99.81
MORDRED,1338,12,13,[96.64],96.64,99.81
MORDRED,1338,13,14,[80.86],80.86,99.81
