ZIP Encoding,Monte_Carlo_Run,Iteration,Number of experiments,MEDV_Measurements,MEDV_IterBest,Running best house price
Latitude-Longitude,0,0,1,[3.22128714],3.221287142857143,3.221287142857143
Latitude-Longitude,0,1,2,[0.45],0.45,3.221287142857143
Latitude-Longitude,0,2,3,[0.83016667],0.8301666666666666,3.221287142857143
Latitude-Longitude,0,3,4,[2.6265],2.6265,3.221287142857143
Latitude-Longitude,0,4,5,[1.4535],1.4535,3.221287142857143
Latitude-Longitude,0,5,6,[4.563],4.563,4.563
Latitude-Longitude,0,6,7,[3.194],3.194,4.563
Latitude-Longitude,0,7,8,[3.638],3.638,4.563
Latitude-Longitude,0,8,9,[3.998],3.998,4.563
Latitude-Longitude,0,9,10,[2.954],2.954,4.563
Latitude-Longitude,0,10,11,[3.4958],3.4958,4.563
Latitude-Longitude,0,11,12,[4.39385857],4.393858571428572,4.563
Latitude-Longitude,0,12,13,[4.68],4.68,4.68
Latitude-Longitude,0,13,14,[4.5435025],4.5435025,4.68
Latitude-Longitude,0,14,15,[3.6655],3.6655,4.68
Latitude-Longitude,0,15,16,[2.64744],2.6474399999999996,4.68
Latitude-Longitude,0,16,17,[2.82566667],2.8256666666666668,4.68
Latitude-Longitude,0,17,18,[1.896],1.896,4.68
Latitude-Longitude,0,18,19,[2.7226005],2.7226005,4.68
Latitude-Longitude,0,19,20,[3.68],3.68,4.68
Latitude-Longitude,0,20,21,[2.75028571],2.750285714285714,4.68
Latitude-Longitude,0,21,22,[1.57735294],1.5773529411764706,4.68
Latitude-Longitude,0,22,23,[2.4065],2.4065000000000003,4.68
Latitude-Longitude,0,23,24,[4.63638062],4.636380624999999,4.68
Latitude-Longitude,0,24,25,[2.49366667],2.4936666666666665,4.68
Latitude-Longitude,0,25,26,[4.219],4.219,4.68
Latitude-Longitude,0,26,27,[1.68825],1.68825,4.68
Latitude-Longitude,0,27,28,[4.83334222],4.833342222222222,4.833342222222222
Latitude-Longitude,0,28,29,[1.154],1.154,4.833342222222222
Latitude-Longitude,0,29,30,[4.88792542],4.887925416666667,4.887925416666667
Latitude-Longitude,0,30,31,[2.232],2.232,4.887925416666667
Latitude-Longitude,0,31,32,[2.306],2.306,4.887925416666667
Latitude-Longitude,0,32,33,[2.6254],2.6254,4.887925416666667
Latitude-Longitude,0,33,34,[4.97845389],4.978453888888889,4.978453888888889
Latitude-Longitude,0,34,35,[4.699505],4.699505,4.978453888888889
Latitude-Longitude,0,35,36,[1.125],1.125,4.978453888888889
Latitude-Longitude,0,36,37,[2.0745],2.0745,4.978453888888889
Latitude-Longitude,0,37,38,[3.99300222],3.9930022222222217,4.978453888888889
Latitude-Longitude,0,38,39,[3.04833333],3.0483333333333333,4.978453888888889
Latitude-Longitude,0,39,40,[1.625],1.625,4.978453888888889
Latitude-Longitude,0,40,41,[2.777],2.777,4.978453888888889
Latitude-Longitude,0,41,42,[4.547695],4.547695,4.978453888888889
Latitude-Longitude,0,42,43,[4.437505],4.437505,4.978453888888889
Latitude-Longitude,0,43,44,[4.0962015],4.0962015,4.978453888888889
Latitude-Longitude,0,44,45,[3.2944],3.2944,4.978453888888889
Latitude-Longitude,0,45,46,[3.80388889],3.803888888888889,4.978453888888889
Latitude-Longitude,0,46,47,[1.9222],1.9222,4.978453888888889
Latitude-Longitude,0,47,48,[2.9005],2.9005,4.978453888888889
Latitude-Longitude,0,48,49,[1.0892381],1.0892380952380951,4.978453888888889
Latitude-Longitude,0,49,50,[2.80877778],2.808777777777778,4.978453888888889
OHE,0,0,1,[0.89916667],0.8991666666666666,0.8991666666666666
OHE,0,1,2,[1.67622222],1.6762222222222225,1.6762222222222225
OHE,0,2,3,[1.62233333],1.6223333333333334,1.6762222222222225
OHE,0,3,4,[2.64633333],2.646333333333333,2.646333333333333
OHE,0,4,5,[1.03125],1.03125,2.646333333333333
OHE,0,5,6,[1.324],1.324,2.646333333333333
OHE,0,6,7,[2.311],2.311,2.646333333333333
OHE,0,7,8,[1.019],1.019,2.646333333333333
OHE,0,8,9,[1.415],1.415,2.646333333333333
OHE,0,9,10,[2.80152174],2.801521739130435,2.801521739130435
OHE,0,10,11,[4.699505],4.699505,4.699505
OHE,0,11,12,[1.8748],1.8748,4.699505
OHE,0,12,13,[1.622],1.622,4.699505
OHE,0,13,14,[2.11],2.1100000000000003,4.699505
OHE,0,14,15,[4.2865025],4.2865025,4.699505
OHE,0,15,16,[0.69315385],0.6931538461538461,4.699505
OHE,0,16,17,[3.643505],3.643505,4.699505
OHE,0,17,18,[2.61177889],2.611778888888889,4.699505
OHE,0,18,19,[0.6082],0.6082,4.699505
OHE,0,19,20,[3.6656],3.6656,4.699505
OHE,0,20,21,[1.037],1.037,4.699505
OHE,0,21,22,[2.12177778],2.121777777777778,4.699505
OHE,0,22,23,[0.6022],0.6022000000000001,4.699505
OHE,0,23,24,[2.6254],2.6254,4.699505
OHE,0,24,25,[3.06063367],3.060633666666667,4.699505
OHE,0,25,26,[0.7141],0.7141,4.699505
OHE,0,26,27,[1.757],1.757,4.699505
OHE,0,27,28,[0.821],0.821,4.699505
OHE,0,28,29,[2.94143333],2.9414333333333333,4.699505
OHE,0,29,30,[1.318],1.318,4.699505
OHE,0,30,31,[2.02508696],2.025086956521739,4.699505
OHE,0,31,32,[1.0096875],1.0096875,4.699505
OHE,0,32,33,[3.31368474],3.313684736842105,4.699505
OHE,0,33,34,[1.02614286],1.026142857142857,4.699505
OHE,0,34,35,[1.6895],1.6895,4.699505
OHE,0,35,36,[0.932],0.932,4.699505
OHE,0,36,37,[0.477],0.477,4.699505
OHE,0,37,38,[3.473005],3.4730049999999997,4.699505
OHE,0,38,39,[2.372],2.372,4.699505
OHE,0,39,40,[1.10466667],1.104666666666667,4.699505
OHE,0,40,41,[1.425],1.425,4.699505
OHE,0,41,42,[2.26125],2.26125,4.699505
OHE,0,42,43,[1.85073077],1.8507307692307693,4.699505
OHE,0,43,44,[0.9397],0.9397,4.699505
OHE,0,44,45,[0.936],0.936,4.699505
OHE,0,45,46,[0.87355319],0.8735531914893617,4.699505
OHE,0,46,47,[1.0555],1.0555,4.699505
OHE,0,47,48,[2.671434],2.6714339999999996,4.699505
OHE,0,48,49,[4.82320077],4.823200769230769,4.823200769230769
OHE,0,49,50,[1.938],1.938,4.823200769230769
INT,0,0,1,[1.531],1.531,1.531
INT,0,1,2,[2.377],2.377,2.377
INT,0,2,3,[1.67622222],1.6762222222222225,2.377
INT,0,3,4,[2.15330435],2.153304347826087,2.377
INT,0,4,5,[1.59566667],1.5956666666666666,2.377
INT,0,5,6,[2.43073077],2.43073076923077,2.43073076923077
INT,0,6,7,[3.65104682],3.6510468181818183,3.6510468181818183
INT,0,7,8,[2.432875],2.432875,3.6510468181818183
INT,0,8,9,[1.348],1.348,3.6510468181818183
INT,0,9,10,[2.9115],2.9115,3.6510468181818183
INT,0,10,11,[1.38],1.38,3.6510468181818183
INT,0,11,12,[4.],4.0,4.0
INT,0,12,13,[2.791],2.791,4.0
INT,0,13,14,[0.784],0.784,4.0
INT,0,14,15,[1.55],1.55,4.0
INT,0,15,16,[2.4075],2.4075,4.0
INT,0,16,17,[1.399],1.399,4.0
INT,0,17,18,[1.62233333],1.6223333333333334,4.0
INT,0,18,19,[1.412875],1.412875,4.0
INT,0,19,20,[2.15126667],2.1512666666666664,4.0
INT,0,20,21,[0.81266667],0.8126666666666668,4.0
INT,0,21,22,[1.802125],1.802125,4.0
INT,0,22,23,[2.788375],2.788375,4.0
INT,0,23,24,[2.8985],2.8985,4.0
INT,0,24,25,[2.07504762],2.075047619047619,4.0
INT,0,25,26,[4.145804],4.145804,4.145804
INT,0,26,27,[1.67922581],1.6792258064516128,4.145804
INT,0,27,28,[2.10209804],2.102098039215686,4.145804
INT,0,28,29,[1.058],1.058,4.145804
INT,0,29,30,[4.361],4.361,4.361
INT,0,30,31,[3.82421571],3.8242157142857143,4.361
INT,0,31,32,[3.12969231],3.1296923076923076,4.361
INT,0,32,33,[0.6215],0.6214999999999999,4.361
INT,0,33,34,[1.816],1.816,4.361
INT,0,34,35,[5.00001],5.00001,5.00001
INT,0,35,36,[2.21938095],2.2193809523809525,5.00001
INT,0,36,37,[1.61088889],1.6108888888888888,5.00001
INT,0,37,38,[0.71333333],0.7133333333333334,5.00001
INT,0,38,39,[3.13144444],3.1314444444444445,5.00001
INT,0,39,40,[1.6307],1.6306999999999998,5.00001
INT,0,40,41,[3.08842308],3.0884230769230774,5.00001
INT,0,41,42,[1.9834],1.9834,5.00001
INT,0,42,43,[0.78226316],0.7822631578947368,5.00001
INT,0,43,44,[4.25341792],4.253417916666667,5.00001
INT,0,44,45,[3.7328024],3.7328024,5.00001
INT,0,45,46,[2.20004545],2.2000454545454544,5.00001
INT,0,46,47,[0.953],0.953,5.00001
INT,0,47,48,[2.88916833],2.8891683333333336,5.00001
INT,0,48,49,[1.534],1.534,5.00001
INT,0,49,50,[1.06966667],1.0696666666666668,5.00001
Random,0,0,1,[1.856],1.856,1.856
Random,0,1,2,[0.6000625],0.6000624999999999,1.856
Random,0,2,3,[3.654],3.654,3.654
Random,0,3,4,[4.94554267],4.945542666666666,4.945542666666666
Random,0,4,5,[3.69800231],3.698002307692308,4.945542666666666
Random,0,5,6,[0.8144],0.8144,4.945542666666666
Random,0,6,7,[4.28015846],4.280158461538462,4.945542666666666
Random,0,7,8,[0.70872727],0.7087272727272728,4.945542666666666
Random,0,8,9,[0.739625],0.739625,4.945542666666666
Random,0,9,10,[2.76566667],2.7656666666666667,4.945542666666666
Random,0,10,11,[1.1395],1.1395,4.945542666666666
Random,0,11,12,[0.63616667],0.6361666666666667,4.945542666666666
Random,0,12,13,[2.59375125],2.59375125,4.945542666666666
Random,0,13,14,[0.6022],0.6022000000000001,4.945542666666666
Random,0,14,15,[2.952],2.952,4.945542666666666
Random,0,15,16,[3.23864357],3.2386435714285713,4.945542666666666
Random,0,16,17,[1.1705],1.1705,4.945542666666666
Random,0,17,18,[1.12725],1.12725,4.945542666666666
Random,0,18,19,[0.55813043],0.5581304347826087,4.945542666666666
Random,0,19,20,[0.535],0.535,4.945542666666666
Random,0,20,21,[3.2485505],3.2485505000000003,4.945542666666666
Random,0,21,22,[0.56133333],0.5613333333333334,4.945542666666666
