% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[0.12, 14.92]",14.92,14.92,
0,1337,1,4,"[52.69, 7.61]",52.69,52.69,
0,1337,2,6,"[2.01, 14.84]",14.84,52.69,
0,1337,3,8,"[11.61, 10.68]",11.61,52.69,
0,1337,4,10,"[55.96, 15.44]",55.96,55.96,
0,1337,5,12,"[45.28, 100.0]",100.0,100.0,
0,1337,6,14,"[98.49, 22.88]",98.49,100.0,
0,1337,7,16,"[0.0, 91.06]",91.06,100.0,
0,1337,8,18,"[90.39, 100.0]",100.0,100.0,
0,1337,9,20,"[87.0, 83.25]",87.0,100.0,
0,1338,0,2,"[10.5, 98.49]",98.49,98.49,
0,1338,1,4,"[13.99, 0.0]",13.99,98.49,
0,1338,2,6,"[32.04, 36.66]",36.66,98.49,
0,1338,3,8,"[0.0, 19.28]",19.28,98.49,
0,1338,4,10,"[87.62, 87.0]",87.62,98.49,
0,1338,5,12,"[5.49, 68.71]",68.71,98.49,
0,1338,6,14,"[67.21, 90.39]",90.39,98.49,
0,1338,7,16,"[54.07, 5.59]",54.07,98.49,
0,1338,8,18,"[0.0, 91.06]",91.06,98.49,
0,1338,9,20,"[91.39, 100.0]",100.0,100.0,
0,1339,0,2,"[0.0, 32.43]",32.43,32.43,
0,1339,1,4,"[55.96, 32.74]",55.96,55.96,
0,1339,2,6,"[0.0, 14.19]",14.19,55.96,
0,1339,3,8,"[9.52, 34.47]",34.47,55.96,
0,1339,4,10,"[96.38, 15.44]",96.38,96.38,
0,1339,5,12,"[36.66, 6.4]",36.66,96.38,
0,1339,6,14,"[100.0, 53.52]",100.0,100.0,
0,1339,7,16,"[87.0, 10.25]",87.0,100.0,
0,1339,8,18,"[91.39, 80.69]",91.39,100.0,
0,1339,9,20,"[83.25, 100.0]",100.0,100.0,
0,1340,0,2,"[0.0, 0.58]",0.58,0.58,
0,1340,1,4,"[24.09, 0.0]",24.09,24.09,
0,1340,2,6,"[11.61, 6.96]",11.61,24.09,
0,1340,3,8,"[21.86, 36.66]",36.66,36.66,
0,1340,4,10,"[76.85, 38.53]",76.85,76.85,
0,1340,5,12,"[0.0, 53.52]",53.52,76.85,
0,1340,6,14,"[90.39, 19.84]",90.39,90.39,
0,1340,7,16,"[0.0, 98.49]",98.49,98.49,
0,1340,8,18,"[87.0, 31.32]",87.0,98.49,
0,1340,9,20,"[67.21, 89.76]",89.76,98.49,
0,1341,0,2,"[0.0, 84.48]",84.48,84.48,
0,1341,1,4,"[0.0, 5.45]",5.45,84.48,
0,1341,2,6,"[52.56, 6.54]",52.56,84.48,
0,1341,3,8,"[5.25, 17.26]",17.26,84.48,
0,1341,4,10,"[0.0, 76.63]",76.63,84.48,
0,1341,5,12,"[84.62, 24.76]",84.62,84.62,
0,1341,6,14,"[5.55, 72.89]",72.89,84.62,
0,1341,7,16,"[73.08, 79.76]",79.76,84.62,
0,1341,8,18,"[40.06, 75.39]",75.39,84.62,
0,1341,9,20,"[83.83, 96.38]",96.38,96.38,
0,1342,0,2,"[13.71, 41.35]",41.35,41.35,
0,1342,1,4,"[11.52, 15.64]",15.64,41.35,
0,1342,2,6,"[50.75, 14.19]",50.75,50.75,
0,1342,3,8,"[0.0, 53.52]",53.52,53.52,
0,1342,4,10,"[98.49, 19.28]",98.49,98.49,
0,1342,5,12,"[87.0, 24.8]",87.0,98.49,
0,1342,6,14,"[90.39, 100.0]",100.0,100.0,
0,1342,7,16,"[91.39, 100.0]",100.0,100.0,
0,1342,8,18,"[91.11, 0.0]",91.11,100.0,
0,1342,9,20,"[7.34, 22.3]",22.3,100.0,
0,1343,0,2,"[10.98, 0.0]",10.98,10.98,
0,1343,1,4,"[55.96, 10.68]",55.96,55.96,
0,1343,2,6,"[0.0, 8.43]",8.43,55.96,
0,1343,3,8,"[63.88, 52.69]",63.88,63.88,
0,1343,4,10,"[57.33, 2.84]",57.33,63.88,
0,1343,5,12,"[32.04, 50.75]",50.75,63.88,
0,1343,6,14,"[87.0, 6.88]",87.0,87.0,
0,1343,7,16,"[67.21, 100.0]",100.0,100.0,
0,1343,8,18,"[100.0, 50.69]",100.0,100.0,
0,1343,9,20,"[98.49, 91.06]",98.49,100.0,
0,1344,0,2,"[0.0, 25.08]",25.08,25.08,
0,1344,1,4,"[11.52, 10.93]",11.52,25.08,
0,1344,2,6,"[8.43, 15.44]",15.44,25.08,
0,1344,3,8,"[55.96, 10.68]",55.96,55.96,
0,1344,4,10,"[45.28, 100.0]",100.0,100.0,
0,1344,5,12,"[100.0, 22.88]",100.0,100.0,
0,1344,6,14,"[87.0, 91.39]",91.39,100.0,
0,1344,7,16,"[20.73, 91.06]",91.06,100.0,
0,1344,8,18,"[98.49, 0.0]",98.49,100.0,
0,1344,9,20,"[89.76, 91.11]",91.11,100.0,
0,1345,0,2,"[4.09, 48.86]",48.86,48.86,
0,1345,1,4,"[0.0, 0.0]",0.0,48.86,
0,1345,2,6,"[68.71, 64.46]",68.71,68.71,
0,1345,3,8,"[39.39, 6.54]",39.39,68.71,
0,1345,4,10,"[27.82, 67.21]",67.21,68.71,
0,1345,5,12,"[2.41, 87.0]",87.0,87.0,
0,1345,6,14,"[38.53, 41.64]",41.64,87.0,
0,1345,7,16,"[5.25, 98.49]",98.49,98.49,
0,1345,8,18,"[90.39, 76.85]",90.39,98.49,
0,1345,9,20,"[0.0, 91.06]",91.06,98.49,
0,1346,0,2,"[38.53, 2.01]",38.53,38.53,
0,1346,1,4,"[14.84, 5.45]",14.84,38.53,
0,1346,2,6,"[0.0, 0.0]",0.0,38.53,
0,1346,3,8,"[36.66, 0.0]",36.66,38.53,
0,1346,4,10,"[11.61, 41.64]",41.64,41.64,
0,1346,5,12,"[100.0, 17.0]",100.0,100.0,
0,1346,6,14,"[91.39, 100.0]",100.0,100.0,
