% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[0.12, 14.92]",14.92,14.92,
0,1337,1,4,"[2.41, 5.47]",5.47,14.92,
0,1337,2,6,"[5.49, 0.0]",5.49,14.92,
0,1337,3,8,"[0.0, 68.71]",68.71,68.71,
0,1337,4,10,"[78.95, 57.33]",78.95,78.95,
0,1337,5,12,"[28.64, 29.31]",29.31,78.95,
0,1337,6,14,"[6.17, 0.0]",6.17,78.95,
0,1337,7,16,"[27.82, 28.15]",28.15,78.95,
0,1337,8,18,"[67.21, 80.38]",80.38,80.38,
0,1337,9,20,"[87.0, 83.25]",87.0,87.0,
0,1338,0,2,"[10.5, 98.49]",98.49,98.49,
0,1338,1,4,"[2.41, 5.47]",5.47,98.49,
0,1338,2,6,"[5.49, 0.12]",5.49,98.49,
0,1338,3,8,"[0.0, 0.0]",0.0,98.49,
0,1338,4,10,"[100.0, 32.43]",100.0,100.0,
0,1338,5,12,"[55.96, 91.11]",91.11,100.0,
0,1338,6,14,"[100.0, 19.28]",100.0,100.0,
0,1338,7,16,"[87.0, 83.25]",87.0,100.0,
0,1338,8,18,"[6.54, 9.07]",9.07,100.0,
0,1338,9,20,"[89.76, 96.38]",96.38,100.0,
0,1339,0,2,"[0.0, 32.43]",32.43,32.43,
0,1339,1,4,"[2.41, 5.47]",5.47,32.43,
0,1339,2,6,"[5.49, 0.12]",5.49,32.43,
0,1339,3,8,"[0.0, 0.0]",0.0,32.43,
0,1339,4,10,"[68.71, 78.95]",78.95,78.95,
0,1339,5,12,"[57.33, 6.22]",57.33,78.95,
0,1339,6,14,"[28.64, 29.31]",29.31,78.95,
0,1339,7,16,"[0.0, 6.39]",6.39,78.95,
0,1339,8,18,"[28.15, 80.38]",80.38,80.38,
0,1339,9,20,"[67.21, 87.0]",87.0,87.0,
0,1340,0,2,"[0.0, 0.58]",0.58,0.58,
0,1340,1,4,"[2.41, 5.47]",5.47,5.47,
0,1340,2,6,"[5.49, 0.12]",5.49,5.49,
0,1340,3,8,"[0.0, 0.0]",0.0,5.49,
0,1340,4,10,"[0.74, 7.34]",7.34,7.34,
0,1340,5,12,"[4.74, 59.83]",59.83,59.83,
0,1340,6,14,"[68.71, 78.95]",78.95,78.95,
0,1340,7,16,"[20.73, 100.0]",100.0,100.0,
0,1340,8,18,"[87.0, 83.25]",87.0,100.0,
0,1340,9,20,"[98.49, 50.69]",98.49,100.0,
0,1341,0,2,"[0.0, 84.48]",84.48,84.48,
0,1341,1,4,"[2.41, 5.47]",5.47,84.48,
0,1341,2,6,"[5.49, 0.12]",5.49,84.48,
0,1341,3,8,"[0.0, 0.0]",0.0,84.48,
0,1341,4,10,"[68.71, 78.95]",78.95,84.48,
0,1341,5,12,"[20.73, 40.06]",40.06,84.48,
0,1341,6,14,"[48.86, 87.83]",87.83,87.83,
0,1341,7,16,"[57.33, 6.22]",57.33,87.83,
0,1341,8,18,"[7.26, 5.25]",7.26,87.83,
0,1341,9,20,"[89.17, 86.43]",89.17,89.17,
0,1342,0,2,"[13.71, 41.35]",41.35,41.35,
0,1342,1,4,"[2.41, 5.47]",5.47,41.35,
0,1342,2,6,"[5.49, 0.12]",5.49,41.35,
0,1342,3,8,"[0.0, 0.0]",0.0,41.35,
0,1342,4,10,"[38.53, 24.0]",38.53,41.35,
0,1342,5,12,"[54.67, 35.64]",54.67,54.67,
0,1342,6,14,"[50.75, 82.33]",82.33,82.33,
0,1342,7,16,"[67.85, 65.69]",67.85,82.33,
0,1342,8,18,"[16.19, 96.38]",96.38,96.38,
0,1342,9,20,"[6.4, 80.69]",80.69,96.38,
0,1343,0,2,"[10.98, 0.0]",10.98,10.98,
0,1343,1,4,"[2.41, 5.47]",5.47,10.98,
0,1343,2,6,"[5.49, 0.12]",5.49,10.98,
0,1343,3,8,"[0.0, 0.0]",0.0,10.98,
0,1343,4,10,"[68.71, 78.95]",78.95,78.95,
0,1343,5,12,"[24.8, 20.73]",24.8,78.95,
0,1343,6,14,"[57.33, 6.22]",57.33,78.95,
0,1343,7,16,"[0.0, 6.39]",6.39,78.95,
0,1343,8,18,"[42.43, 29.31]",42.43,78.95,
0,1343,9,20,"[18.42, 7.33]",18.42,78.95,
0,1344,0,2,"[0.0, 25.08]",25.08,25.08,
0,1344,1,4,"[2.41, 5.47]",5.47,25.08,
0,1344,2,6,"[5.49, 0.12]",5.49,25.08,
0,1344,3,8,"[0.0, 0.0]",0.0,25.08,
0,1344,4,10,"[52.69, 10.05]",52.69,52.69,
0,1344,5,12,"[57.68, 31.29]",57.68,57.68,
0,1344,6,14,"[64.46, 36.7]",64.46,64.46,
0,1344,7,16,"[32.04, 55.96]",55.96,64.46,
0,1344,8,18,"[73.59, 9.07]",73.59,73.59,
0,1344,9,20,"[64.12, 46.33]",64.12,73.59,
0,1345,0,2,"[4.09, 48.86]",48.86,48.86,
0,1345,1,4,"[2.41, 5.47]",5.47,48.86,
0,1345,2,6,"[5.49, 0.12]",5.49,48.86,
0,1345,3,8,"[0.0, 0.0]",0.0,48.86,
0,1345,4,10,"[68.71, 78.95]",78.95,78.95,
0,1345,5,12,"[57.33, 6.22]",57.33,78.95,
0,1345,6,14,"[28.64, 29.31]",29.31,78.95,
0,1345,7,16,"[0.0, 6.39]",6.39,78.95,
0,1345,8,18,"[7.26, 5.25]",7.26,78.95,
0,1345,9,20,"[28.15, 30.44]",30.44,78.95,
0,1346,0,2,"[38.53, 2.01]",38.53,38.53,
0,1346,1,4,"[2.41, 5.47]",5.47,38.53,
0,1346,2,6,"[5.49, 0.12]",5.49,38.53,
0,1346,3,8,"[0.0, 0.0]",0.0,38.53,
0,1346,4,10,"[32.43, 50.69]",50.69,50.69,
0,1346,5,12,"[45.01, 80.69]",80.69,80.69,
0,1346,6,14,"[53.25, 19.28]",53.25,80.69,
0,1346,7,16,"[41.64, 68.35]",68.35,80.69,
0,1346,8,18,"[96.38, 6.96]",96.38,96.38,
0,1346,9,20,"[50.75, 82.33]",82.33,96.38,
0,1347,0,2,"[34.47, 27.71]",34.47,34.47,
0,1347,1,4,"[2.41, 5.47]",5.47,34.47,
0,1347,2,6,"[5.49, 0.12]",5.49,34.47,
