% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[2.13, 20.87]",20.87,20.87,
0,1337,1,4,"[49.48, 7.88]",49.48,49.48,
0,1337,2,6,"[3.33, 10.59]",10.59,49.48,
0,1337,3,8,"[3.04, 11.26]",11.26,49.48,
0,1337,4,10,"[92.19, 14.29]",92.19,92.19,
0,1337,5,12,"[0.0, 26.69]",26.69,92.19,
0,1337,6,14,"[92.03, 0.0]",92.03,92.19,
0,1337,7,16,"[89.95, 75.46]",89.95,92.19,
0,1337,8,18,"[95.48, 12.23]",95.48,95.48,
0,1337,9,20,"[96.64, 98.38]",98.38,98.38,
0,1338,0,2,"[16.64, 99.81]",99.81,99.81,
0,1338,1,4,"[13.79, 0.0]",13.79,99.81,
0,1338,2,6,"[52.08, 76.66]",76.66,99.81,
0,1338,3,8,"[98.38, 92.03]",98.38,99.81,
0,1338,4,10,"[96.64, 19.13]",96.64,99.81,
0,1338,5,12,"[2.13, 88.89]",88.89,99.81,
0,1338,6,14,"[89.95, 99.22]",99.22,99.81,
0,1338,7,16,"[5.95, 9.96]",9.96,99.81,
0,1338,8,18,"[95.48, 46.42]",95.48,99.81,
0,1338,9,20,"[89.14, 8.52]",89.14,99.81,
0,1339,0,2,"[0.0, 45.73]",45.73,45.73,
0,1339,1,4,"[68.17, 27.41]",68.17,68.17,
0,1339,2,6,"[0.0, 13.12]",13.12,68.17,
0,1339,3,8,"[22.07, 23.81]",23.81,68.17,
0,1339,4,10,"[99.22, 25.67]",99.22,99.22,
0,1339,5,12,"[96.64, 91.19]",96.64,99.22,
0,1339,6,14,"[98.38, 95.48]",98.38,99.22,
0,1339,7,16,"[32.21, 99.98]",99.98,99.98,
0,1339,8,18,"[92.19, 80.86]",92.19,99.98,
0,1339,9,20,"[81.63, 50.74]",81.63,99.98,
0,1340,0,2,"[10.49, 2.35]",10.49,10.49,
0,1340,1,4,"[13.79, 60.29]",60.29,60.29,
0,1340,2,6,"[0.74, 4.66]",4.66,60.29,
0,1340,3,8,"[96.64, 19.13]",96.64,96.64,
0,1340,4,10,"[88.89, 46.42]",88.89,96.64,
0,1340,5,12,"[3.14, 2.13]",3.14,96.64,
0,1340,6,14,"[98.38, 8.52]",98.38,98.38,
0,1340,7,16,"[76.59, 99.22]",99.22,99.22,
0,1340,8,18,"[85.21, 95.48]",95.48,99.22,
0,1340,9,20,"[83.22, 81.48]",83.22,99.22,
0,1341,0,2,"[0.0, 84.49]",84.49,84.49,
0,1341,1,4,"[0.0, 5.4]",5.4,84.49,
0,1341,2,6,"[74.3, 9.96]",74.3,84.49,
0,1341,3,8,"[11.91, 18.26]",18.26,84.49,
0,1341,4,10,"[1.62, 53.02]",53.02,84.49,
0,1341,5,12,"[68.17, 30.17]",68.17,84.49,
0,1341,6,14,"[5.65, 68.31]",68.31,84.49,
0,1341,7,16,"[11.83, 70.8]",70.8,84.49,
0,1341,8,18,"[7.43, 48.34]",48.34,84.49,
0,1341,9,20,"[5.15, 19.13]",19.13,84.49,
0,1342,0,2,"[11.83, 51.37]",51.37,51.37,
0,1342,1,4,"[26.22, 16.07]",26.22,51.37,
0,1342,2,6,"[92.19, 9.35]",92.19,92.19,
0,1342,3,8,"[0.0, 71.81]",71.81,92.19,
0,1342,4,10,"[26.69, 12.23]",26.69,92.19,
0,1342,5,12,"[98.38, 80.86]",98.38,98.38,
0,1342,6,14,"[7.43, 99.22]",99.22,99.22,
0,1342,7,16,"[99.81, 95.48]",99.81,99.81,
0,1342,8,18,"[83.22, 89.95]",89.95,99.81,
0,1342,9,20,"[76.59, 68.17]",76.59,99.81,
0,1343,0,2,"[21.25, 0.0]",21.25,21.25,
0,1343,1,4,"[68.17, 11.26]",68.17,68.17,
