% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[18.93, 21.46]",21.46,21.46,
0,0,1,4,"[17.98, 14.58]",17.98,21.46,
0,0,2,6,"[31.66, 21.65]",31.66,31.66,
0,0,3,8,"[37.37, 18.95]",37.37,37.37,
0,0,4,10,"[2.29, 52.2]",52.2,52.2,
0,0,5,12,"[44.4, 37.93]",44.4,52.2,
0,0,6,14,"[5.7, 14.99]",14.99,52.2,
0,0,7,16,"[22.3, 9.96]",22.3,52.2,
0,0,8,18,"[26.88, 36.32]",36.32,52.2,
0,0,9,20,"[32.14, 11.77]",32.14,52.2,
0,1,0,2,"[0.0, 0.0]",0.0,0.0,
0,1,1,4,"[0.99, 0.41]",0.99,0.99,
0,1,2,6,"[3.67, 2.77]",3.67,3.67,
0,1,3,8,"[5.68, 3.77]",5.68,5.68,
0,1,4,10,"[4.39, 2.9]",4.39,5.68,
0,1,5,12,"[3.38, 9.96]",9.96,9.96,
0,1,6,14,"[7.25, 6.73]",7.25,9.96,
0,1,7,16,"[9.32, 22.3]",22.3,22.3,
0,1,8,18,"[16.57, 24.05]",24.05,24.05,
0,1,9,20,"[36.32, 19.97]",36.32,36.32,
0,2,0,2,"[28.36, 5.02]",28.36,28.36,
0,2,1,4,"[22.31, 31.55]",31.55,31.55,
0,2,2,6,"[34.98, 38.45]",38.45,38.45,
0,2,3,8,"[21.8, 13.85]",21.8,38.45,
0,2,4,10,"[2.49, 44.28]",44.28,44.28,
0,2,5,12,"[27.79, 75.4]",75.4,75.4,
0,2,6,14,"[33.95, 40.02]",40.02,75.4,
0,2,7,16,"[54.55, 0.0]",54.55,75.4,
0,2,8,18,"[13.31, 37.58]",37.58,75.4,
0,2,9,20,"[18.19, 46.57]",46.57,75.4,
0,3,0,2,"[30.41, 75.28]",75.28,75.28,
0,3,1,4,"[17.93, 13.78]",17.93,75.28,
0,3,2,6,"[84.03, 65.32]",84.03,84.03,
0,3,3,8,"[61.09, 13.02]",61.09,84.03,
0,3,4,10,"[36.73, 0.97]",36.73,84.03,
0,3,5,12,"[19.99, 8.95]",19.99,84.03,
0,3,6,14,"[43.84, 0.0]",43.84,84.03,
0,3,7,16,"[18.19, 16.44]",18.19,84.03,
0,3,8,18,"[0.0, 0.0]",0.0,84.03,
0,3,9,20,"[44.4, 31.38]",44.4,84.03,
0,4,0,2,"[0.0, 0.0]",0.0,0.0,
0,4,1,4,"[22.3, 0.0]",22.3,22.3,
0,4,2,6,"[16.91, 0.0]",16.91,22.3,
0,4,3,8,"[24.05, 9.96]",24.05,24.05,
0,4,4,10,"[36.32, 36.97]",36.97,36.97,
0,4,5,12,"[11.77, 45.87]",45.87,45.87,
0,4,6,14,"[72.24, 7.12]",72.24,72.24,
0,4,7,16,"[40.47, 3.77]",40.47,72.24,
0,4,8,18,"[3.79, 23.51]",23.51,72.24,
0,4,9,20,"[3.6, 30.41]",30.41,72.24,
0,5,0,2,"[0.6, 29.57]",29.57,29.57,
0,5,1,4,"[36.72, 28.17]",36.72,36.72,
0,5,2,6,"[9.66, 72.9]",72.9,72.9,
0,5,3,8,"[30.83, 86.37]",86.37,86.37,
0,5,4,10,"[0.0, 26.5]",26.5,86.37,
0,5,5,12,"[69.11, 0.0]",69.11,86.37,
0,5,6,14,"[40.02, 45.95]",45.95,86.37,
0,5,7,16,"[53.43, 48.64]",53.43,86.37,
0,5,8,18,"[36.98, 59.27]",59.27,86.37,
0,5,9,20,"[84.17, 42.45]",84.17,86.37,
0,6,0,2,"[16.04, 0.0]",16.04,16.04,
0,6,1,4,"[57.18, 3.89]",57.18,57.18,
0,6,2,6,"[37.4, 52.23]",52.23,57.18,
0,6,3,8,"[55.7, 20.67]",55.7,57.18,
0,6,4,10,"[84.03, 21.51]",84.03,84.03,
0,6,5,12,"[75.28, 43.84]",75.28,84.03,
0,6,6,14,"[23.23, 0.0]",23.23,84.03,
0,6,7,16,"[0.97, 0.0]",0.97,84.03,
0,6,8,18,"[31.66, 26.56]",31.66,84.03,
0,6,9,20,"[25.64, 44.4]",44.4,84.03,
0,7,0,2,"[0.0, 8.45]",8.45,8.45,
0,7,1,4,"[16.95, 16.15]",16.95,16.95,
0,7,2,6,"[20.67, 28.9]",28.9,28.9,
0,7,3,8,"[61.09, 30.41]",61.09,61.09,
0,7,4,10,"[84.03, 62.75]",84.03,84.03,
0,7,5,12,"[65.32, 18.93]",65.32,84.03,
0,7,6,14,"[23.23, 36.73]",36.73,84.03,
0,7,7,16,"[0.97, 3.55]",3.55,84.03,
0,7,8,18,"[17.45, 14.99]",17.45,84.03,
0,7,9,20,"[75.28, 31.66]",75.28,84.03,
0,8,0,2,"[0.0, 0.0]",0.0,0.0,
0,8,1,4,"[3.79, 44.4]",44.4,44.4,
0,8,2,6,"[52.2, 31.38]",52.2,52.2,
0,8,3,8,"[5.7, 37.3]",37.3,52.2,
0,8,4,10,"[7.59, 37.37]",37.37,52.2,
0,8,5,12,"[33.6, 26.56]",33.6,52.2,
0,8,6,14,"[14.99, 0.85]",14.99,52.2,
0,8,7,16,"[26.88, 31.66]",31.66,52.2,
0,8,8,18,"[25.0, 26.29]",26.29,52.2,
0,8,9,20,"[52.23, 0.0]",52.23,52.23,
0,9,0,2,"[17.98, 5.75]",17.98,17.98,
0,9,1,4,"[26.29, 16.28]",26.29,26.29,
0,9,2,6,"[37.37, 26.56]",37.37,37.37,
0,9,3,8,"[31.66, 37.3]",37.3,37.37,
0,9,4,10,"[15.86, 10.66]",15.86,37.37,
0,9,5,12,"[18.95, 33.6]",33.6,37.37,
0,9,6,14,"[52.2, 25.64]",52.2,52.2,
0,9,7,16,"[26.88, 44.4]",44.4,52.2,
0,9,8,18,"[0.0, 14.99]",14.99,52.2,
0,9,9,20,"[22.3, 62.75]",62.75,62.75,
0,10,0,2,"[36.32, 18.95]",36.32,36.32,
0,10,1,4,"[23.51, 22.3]",23.51,36.32,
0,10,2,6,"[24.05, 6.77]",24.05,36.32,
0,10,3,8,"[28.02, 3.38]",28.02,36.32,
