% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[0.0, 14.68]",14.68,14.68,
0,0,1,4,"[17.93, 0.0]",17.93,17.93,
0,0,2,6,"[18.93, 21.51]",21.51,21.51,
0,0,3,8,"[22.65, 17.63]",22.65,22.65,
0,0,4,10,"[31.58, 14.83]",31.58,31.58,
0,0,5,12,"[24.59, 20.2]",24.59,31.58,
0,0,6,14,"[43.84, 4.16]",43.84,43.84,
0,0,7,16,"[38.8, 28.9]",38.8,43.84,
0,0,8,18,"[39.55, 12.61]",39.55,43.84,
0,0,9,20,"[63.2, 44.22]",63.2,63.2,
0,1,0,2,"[0.0, 5.5]",5.5,5.5,
0,1,1,4,"[5.48, 6.77]",6.77,6.77,
0,1,2,6,"[6.73, 3.79]",6.73,6.77,
0,1,3,8,"[4.95, 9.96]",9.96,9.96,
0,1,4,10,"[9.32, 2.9]",9.32,9.96,
0,1,5,12,"[8.98, 7.8]",8.98,9.96,
0,1,6,14,"[7.25, 11.77]",11.77,11.77,
0,1,7,16,"[36.97, 40.47]",40.47,40.47,
0,1,8,18,"[72.24, 3.77]",72.24,72.24,
0,1,9,20,"[20.5, 3.6]",20.5,72.24,
0,2,0,2,"[0.0, 1.96]",1.96,1.96,
0,2,1,4,"[4.23, 11.65]",11.65,11.65,
0,2,2,6,"[13.01, 16.57]",16.57,16.57,
0,2,3,8,"[0.0, 22.3]",22.3,22.3,
0,2,4,10,"[16.91, 0.0]",16.91,22.3,
0,2,5,12,"[36.32, 23.51]",36.32,36.32,
0,2,6,14,"[24.05, 32.14]",32.14,36.32,
0,2,7,16,"[19.97, 20.5]",20.5,36.32,
0,2,8,18,"[6.77, 0.0]",6.77,36.32,
0,2,9,20,"[11.77, 36.97]",36.97,36.97,
0,3,0,2,"[0.0, 0.0]",0.0,0.0,
0,3,1,4,"[7.84, 9.32]",9.32,9.32,
0,3,2,6,"[7.8, 9.96]",9.96,9.96,
0,3,3,8,"[7.74, 6.77]",7.74,9.96,
0,3,4,10,"[0.0, 0.0]",0.0,9.96,
0,3,5,12,"[8.98, 0.0]",8.98,9.96,
0,3,6,14,"[6.73, 36.97]",36.97,36.97,
0,3,7,16,"[40.47, 72.24]",72.24,72.24,
0,3,8,18,"[45.87, 2.72]",45.87,72.24,
0,3,9,20,"[16.92, 3.38]",16.92,72.24,
0,4,0,2,"[0.0, 40.02]",40.02,40.02,
0,4,1,4,"[69.11, 3.79]",69.11,69.11,
0,4,2,6,"[75.4, 45.95]",75.4,75.4,
0,4,3,8,"[33.95, 32.5]",33.95,75.4,
0,4,4,10,"[86.37, 0.0]",86.37,86.37,
0,4,5,12,"[72.9, 26.5]",72.9,86.37,
0,4,6,14,"[30.83, 36.72]",36.72,86.37,
0,4,7,16,"[48.64, 54.55]",54.55,86.37,
0,4,8,18,"[39.5, 18.19]",39.5,86.37,
0,4,9,20,"[48.21, 18.59]",48.21,86.37,
0,5,0,2,"[13.85, 38.45]",38.45,38.45,
0,5,1,4,"[23.57, 0.0]",23.57,38.45,
0,5,2,6,"[38.12, 2.49]",38.12,38.45,
0,5,3,8,"[38.68, 19.39]",38.68,38.68,
0,5,4,10,"[42.45, 41.03]",42.45,42.45,
0,5,5,12,"[25.62, 0.0]",25.62,42.45,
0,5,6,14,"[21.8, 12.39]",21.8,42.45,
0,5,7,16,"[17.92, 26.33]",26.33,42.45,
0,5,8,18,"[66.03, 59.27]",66.03,66.03,
0,5,9,20,"[28.36, 25.5]",28.36,66.03,
0,6,0,2,"[0.0, 0.0]",0.0,0.0,
0,6,1,4,"[4.39, 0.0]",4.39,4.39,
0,6,2,6,"[4.43, 3.38]",4.43,4.43,
0,6,3,8,"[3.77, 1.79]",3.77,4.43,
0,6,4,10,"[2.69, 5.68]",5.68,5.68,
0,6,5,12,"[0.0, 2.77]",2.77,5.68,
0,6,6,14,"[36.97, 2.9]",36.97,36.97,
0,6,7,16,"[72.24, 11.77]",72.24,72.24,
0,6,8,18,"[3.79, 20.5]",20.5,72.24,
0,6,9,20,"[3.6, 0.0]",3.6,72.24,
0,7,0,2,"[0.0, 3.69]",3.69,3.69,
0,7,1,4,"[6.38, 24.05]",24.05,24.05,
0,7,2,6,"[20.5, 36.32]",36.32,36.32,
0,7,3,8,"[32.14, 22.3]",32.14,36.32,
0,7,4,10,"[23.51, 16.57]",23.51,36.32,
0,7,5,12,"[19.97, 16.91]",19.97,36.32,
0,7,6,14,"[0.0, 11.65]",11.65,36.32,
0,7,7,16,"[6.77, 11.77]",11.77,36.32,
0,7,8,18,"[3.38, 2.21]",3.38,36.32,
0,7,9,20,"[13.01, 0.97]",13.01,36.32,
0,8,0,2,"[5.5, 1.26]",5.5,5.5,
0,8,1,4,"[3.78, 10.04]",10.04,10.04,
0,8,2,6,"[34.6, 10.13]",34.6,34.6,
0,8,3,8,"[13.72, 33.6]",33.6,34.6,
0,8,4,10,"[16.28, 25.64]",25.64,34.6,
0,8,5,12,"[14.58, 24.55]",24.55,34.6,
0,8,6,14,"[37.37, 31.66]",37.37,37.37,
0,8,7,16,"[26.29, 21.46]",26.29,37.37,
0,8,8,18,"[52.2, 25.0]",52.2,52.2,
0,8,9,20,"[44.4, 29.45]",44.4,52.2,
0,9,0,2,"[15.86, 61.09]",61.09,61.09,
0,9,1,4,"[55.7, 32.5]",55.7,61.09,
0,9,2,6,"[84.03, 65.32]",84.03,84.03,
0,9,3,8,"[43.84, 38.8]",43.84,84.03,
0,9,4,10,"[75.28, 18.93]",75.28,84.03,
0,9,5,12,"[62.75, 13.02]",62.75,84.03,
0,9,6,14,"[39.55, 23.23]",39.55,84.03,
0,9,7,16,"[28.9, 0.0]",28.9,84.03,
0,9,8,18,"[26.5, 10.34]",26.5,84.03,
0,9,9,20,"[30.41, 21.51]",30.41,84.03,
0,10,0,2,"[14.83, 8.98]",14.83,14.83,
0,10,1,4,"[12.61, 16.83]",16.83,16.83,
0,10,2,6,"[31.58, 24.59]",31.58,31.58,
0,10,3,8,"[22.65, 18.93]",22.65,31.58,
0,10,4,10,"[21.51, 43.84]",43.84,43.84,
0,10,5,12,"[38.8, 28.9]",38.8,43.84,
0,10,6,14,"[39.55, 61.09]",61.09,61.09,
0,10,7,16,"[84.03, 62.75]",84.03,84.03,
0,10,8,18,"[65.32, 75.28]",75.28,84.03,
0,10,9,20,"[55.7, 13.02]",55.7,84.03,
0,11,0,2,"[0.0, 0.0]",0.0,0.0,
0,11,1,4,"[1.79, 0.0]",1.79,1.79,
0,11,2,6,"[4.43, 3.38]",4.43,4.43,
0,11,3,8,"[4.39, 2.69]",4.39,4.43,
0,11,4,10,"[3.77, 72.24]",72.24,72.24,
0,11,5,12,"[11.77, 40.47]",40.47,72.24,
0,11,6,14,"[7.12, 3.79]",7.12,72.24,
0,11,7,16,"[20.5, 3.6]",20.5,72.24,
0,11,8,18,"[16.57, 30.41]",30.41,72.24,
0,11,9,20,"[62.75, 12.61]",62.75,72.24,
0,12,0,2,"[65.32, 0.0]",65.32,65.32,
0,12,1,4,"[75.28, 11.65]",75.28,75.28,
0,12,2,6,"[84.03, 55.7]",84.03,84.03,
0,12,3,8,"[61.09, 38.8]",61.09,84.03,
0,12,4,10,"[62.75, 43.84]",62.75,84.03,
0,12,5,12,"[39.55, 28.9]",39.55,84.03,
0,12,6,14,"[30.41, 18.93]",30.41,84.03,
0,12,7,16,"[13.19, 13.02]",13.19,84.03,
0,12,8,18,"[13.78, 0.0]",13.78,84.03,
0,12,9,20,"[14.68, 36.73]",36.73,84.03,
0,13,0,2,"[8.95, 0.7]",8.95,8.95,
0,13,1,4,"[5.29, 2.77]",5.29,8.95,
0,13,2,6,"[5.65, 0.0]",5.65,8.95,
0,13,3,8,"[6.69, 0.0]",6.69,8.95,
0,13,4,10,"[4.89, 5.62]",5.62,8.95,
0,13,5,12,"[25.67, 3.55]",25.67,25.67,
0,13,6,14,"[31.97, 25.31]",31.97,31.97,
0,13,7,16,"[23.22, 24.02]",24.02,31.97,
0,13,8,18,"[19.77, 0.18]",19.77,31.97,
0,13,9,20,"[5.29, 8.72]",8.72,31.97,
0,14,0,2,"[0.99, 0.0]",0.99,0.99,
0,14,1,4,"[2.21, 6.26]",6.26,6.26,
0,14,2,6,"[9.66, 36.72]",36.72,36.72,
0,14,3,8,"[28.02, 21.15]",28.02,36.72,
0,14,4,10,"[48.21, 29.57]",48.21,48.21,
0,14,5,12,"[39.5, 14.99]",39.5,48.21,
0,14,6,14,"[18.59, 13.31]",18.59,48.21,
0,14,7,16,"[48.64, 24.25]",48.64,48.64,
0,14,8,18,"[37.58, 40.02]",40.02,48.64,
