% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[37.37, 13.88]",37.37,37.37,
0,0,1,4,"[64.46, 24.05]",64.46,64.46,
0,0,2,6,"[78.93, 55.96]",78.93,78.93,
0,0,3,8,"[68.17, 31.66]",68.17,78.93,
0,0,4,10,"[52.08, 31.43]",52.08,78.93,
0,0,5,12,"[74.3, 32.04]",74.3,78.93,
0,0,6,14,"[52.56, 23.8]",52.56,78.93,
0,0,7,16,"[53.61, 53.02]",53.61,78.93,
0,0,8,18,"[30.17, 29.45]",30.17,78.93,
0,0,9,20,"[53.11, 49.48]",53.11,78.93,
0,1,0,2,"[0.0, 20.51]",20.51,20.51,
0,1,1,4,"[23.1, 26.29]",26.29,26.29,
0,1,2,6,"[23.57, 49.57]",49.57,49.57,
0,1,3,8,"[38.45, 17.56]",38.45,49.57,
0,1,4,10,"[40.76, 43.9]",43.9,49.57,
0,1,5,12,"[44.16, 18.89]",44.16,49.57,
0,1,6,14,"[41.03, 6.26]",41.03,49.57,
0,1,7,16,"[24.76, 11.49]",24.76,49.57,
0,1,8,18,"[22.3, 32.74]",32.74,49.57,
0,1,9,20,"[36.32, 27.41]",36.32,49.57,
0,2,0,2,"[45.73, 16.83]",45.73,45.73,
0,2,1,4,"[26.69, 0.0]",26.69,45.73,
0,2,2,6,"[32.43, 62.33]",62.33,62.33,
0,2,3,8,"[50.69, 52.47]",52.47,62.33,
0,2,4,10,"[38.53, 31.58]",38.53,62.33,
0,2,5,12,"[22.88, 22.65]",22.88,62.33,
0,2,6,14,"[18.93, 99.22]",99.22,99.22,
0,2,7,16,"[28.9, 91.19]",91.19,99.22,
0,2,8,18,"[100.0, 99.98]",100.0,100.0,
0,2,9,20,"[96.38, 44.22]",96.38,100.0,
0,3,0,2,"[0.0, 0.0]",0.0,0.0,
0,3,1,4,"[7.74, 13.34]",13.34,13.34,
0,3,2,6,"[10.46, 13.33]",13.33,13.34,
0,3,3,8,"[10.77, 12.77]",12.77,13.34,
0,3,4,10,"[7.61, 10.93]",10.93,13.34,
0,3,5,12,"[9.96, 8.72]",9.96,13.34,
0,3,6,14,"[6.77, 14.01]",14.01,14.01,
0,3,7,16,"[0.0, 0.0]",0.0,14.01,
0,3,8,18,"[9.32, 7.88]",9.32,14.01,
0,3,9,20,"[6.73, 43.12]",43.12,43.12,
0,4,0,2,"[0.0, 59.05]",59.05,59.05,
0,4,1,4,"[5.53, 7.88]",7.88,59.05,
0,4,2,6,"[48.91, 10.66]",48.91,59.05,
