% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,0,0,2,"[0.0, 0.0]",0.0,0.0,
0,0,1,4,"[20.08, 3.69]",20.08,20.08,
0,0,2,6,"[23.5, 19.82]",23.5,23.5,
0,0,3,8,"[12.12, 8.31]",12.12,23.5,
0,0,4,10,"[32.14, 4.06]",32.14,32.14,
0,0,5,12,"[16.92, 48.21]",48.21,48.21,
0,0,6,14,"[9.66, 69.13]",69.13,69.13,
0,0,7,16,"[40.61, 50.79]",50.79,69.13,
0,0,8,18,"[46.53, 48.64]",48.64,69.13,
0,0,9,20,"[24.25, 84.17]",84.17,84.17,
0,1,0,2,"[29.16, 27.93]",29.16,29.16,
0,1,1,4,"[87.83, 0.0]",87.83,87.83,
0,1,2,6,"[65.37, 84.17]",84.17,87.83,
0,1,3,8,"[86.43, 67.17]",86.43,87.83,
0,1,4,10,"[28.11, 83.83]",83.83,87.83,
0,1,5,12,"[2.79, 56.57]",56.57,87.83,
0,1,6,14,"[47.3, 86.37]",86.37,87.83,
0,1,7,16,"[59.27, 85.24]",85.24,87.83,
0,1,8,18,"[48.21, 0.0]",48.21,87.83,
0,1,9,20,"[4.74, 45.95]",45.95,87.83,
0,2,0,2,"[0.0, 10.44]",10.44,10.44,
0,2,1,4,"[12.83, 0.0]",12.83,12.83,
0,2,2,6,"[24.56, 4.02]",24.56,24.56,
0,2,3,8,"[0.0, 88.41]",88.41,88.41,
0,2,4,10,"[87.83, 80.61]",87.83,88.41,
0,2,5,12,"[38.03, 84.81]",84.81,88.41,
0,2,6,14,"[29.16, 2.79]",29.16,88.41,
0,2,7,16,"[77.41, 5.03]",77.41,88.41,
0,2,8,18,"[67.04, 7.71]",67.04,88.41,
0,2,9,20,"[67.17, 35.07]",67.17,88.41,
0,3,0,2,"[65.69, 0.0]",65.69,65.69,
0,3,1,4,"[82.33, 39.42]",82.33,82.33,
0,3,2,6,"[16.04, 88.82]",88.82,88.82,
0,3,3,8,"[70.51, 62.73]",70.51,88.82,
0,3,4,10,"[8.21, 81.63]",81.63,88.82,
0,3,5,12,"[87.59, 83.22]",87.59,88.82,
0,3,6,14,"[67.57, 57.84]",67.57,88.82,
0,3,7,16,"[89.76, 83.85]",89.76,89.76,
0,3,8,18,"[80.38, 91.11]",91.11,91.11,
0,3,9,20,"[75.28, 49.17]",75.28,91.11,
0,4,0,2,"[0.0, 82.09]",82.09,82.09,
0,4,1,4,"[47.03, 68.33]",68.33,82.09,
0,4,2,6,"[62.6, 0.0]",62.6,82.09,
0,4,3,8,"[5.69, 10.51]",10.51,82.09,
0,4,4,10,"[4.77, 88.41]",88.41,88.41,
0,4,5,12,"[65.37, 80.61]",80.61,88.41,
0,4,6,14,"[84.81, 5.03]",84.81,88.41,
0,4,7,16,"[67.04, 7.71]",67.04,88.41,
0,4,8,18,"[55.8, 25.5]",55.8,88.41,
0,4,9,20,"[56.57, 73.71]",73.71,88.41,
0,5,0,2,"[0.0, 0.0]",0.0,0.0,
0,5,1,4,"[20.08, 0.0]",20.08,20.08,
