% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[0.0, 14.92]",14.92,14.92,
0,1337,1,4,"[5.22, 5.47]",5.47,14.92,
0,1337,2,6,"[5.03, 0.0]",5.03,14.92,
0,1337,3,8,"[7.71, 47.03]",47.03,47.03,
0,1337,4,10,"[78.95, 82.09]",82.09,82.09,
0,1337,5,12,"[68.33, 62.6]",68.33,82.09,
0,1337,6,14,"[8.4, 0.0]",8.4,82.09,
0,1337,7,16,"[28.64, 86.46]",86.46,86.46,
0,1337,8,18,"[74.04, 76.33]",76.33,86.46,
0,1337,9,20,"[30.15, 87.32]",87.32,87.32,
0,1338,0,2,"[10.5, 87.59]",87.59,87.59,
0,1338,1,4,"[5.22, 5.47]",5.47,87.59,
0,1338,2,6,"[5.03, 0.0]",5.03,87.59,
0,1338,3,8,"[0.0, 7.71]",7.71,87.59,
0,1338,4,10,"[83.85, 42.62]",83.85,87.59,
0,1338,5,12,"[89.76, 71.57]",89.76,89.76,
0,1338,6,14,"[75.28, 8.21]",75.28,89.76,
0,1338,7,16,"[81.63, 62.32]",81.63,89.76,
0,1338,8,18,"[67.57, 40.02]",67.57,89.76,
0,1338,9,20,"[80.38, 27.93]",80.38,89.76,
0,1339,0,2,"[0.0, 42.62]",42.62,42.62,
0,1339,1,4,"[5.22, 5.47]",5.47,42.62,
0,1339,2,6,"[5.03, 0.0]",5.03,42.62,
0,1339,3,8,"[0.0, 7.71]",7.71,42.62,
0,1339,4,10,"[47.03, 78.95]",78.95,78.95,
0,1339,5,12,"[82.09, 1.71]",82.09,82.09,
0,1339,6,14,"[68.33, 62.6]",68.33,82.09,
0,1339,7,16,"[0.0, 5.69]",5.69,82.09,
0,1339,8,18,"[28.64, 87.59]",87.59,87.59,
0,1339,9,20,"[83.22, 83.85]",83.85,87.59,
0,1340,0,2,"[3.7, 0.26]",3.7,3.7,
0,1340,1,4,"[5.22, 5.47]",5.47,5.47,
0,1340,2,6,"[5.03, 0.0]",5.03,5.47,
0,1340,3,8,"[0.0, 7.71]",7.71,7.71,
0,1340,4,10,"[47.03, 78.95]",78.95,78.95,
0,1340,5,12,"[82.09, 62.6]",82.09,82.09,
0,1340,6,14,"[68.33, 0.0]",68.33,82.09,
0,1340,7,16,"[28.64, 20.87]",28.64,82.09,
0,1340,8,18,"[29.31, 17.43]",29.31,82.09,
0,1340,9,20,"[74.04, 8.4]",74.04,82.09,
0,1341,0,2,"[0.0, 84.81]",84.81,84.81,
0,1341,1,4,"[5.22, 5.47]",5.47,84.81,
0,1341,2,6,"[5.03, 0.0]",5.03,84.81,
0,1341,3,8,"[0.0, 7.71]",7.71,84.81,
0,1341,4,10,"[47.03, 78.95]",78.95,84.81,
0,1341,5,12,"[82.09, 1.71]",82.09,84.81,
0,1341,6,14,"[62.6, 48.15]",62.6,84.81,
0,1341,7,16,"[68.33, 87.83]",87.83,87.83,
0,1341,8,18,"[0.0, 2.79]",2.79,87.83,
0,1341,9,20,"[65.37, 84.17]",84.17,87.83,
0,1342,0,2,"[16.64, 41.35]",41.35,41.35,
0,1342,1,4,"[5.22, 5.47]",5.47,41.35,
0,1342,2,6,"[5.03, 0.0]",5.03,41.35,
0,1342,3,8,"[0.0, 7.71]",7.71,41.35,
0,1342,4,10,"[36.23, 57.84]",57.84,57.84,
0,1342,5,12,"[88.82, 14.73]",88.82,88.82,
0,1342,6,14,"[82.33, 71.57]",82.33,88.82,
0,1342,7,16,"[67.57, 3.8]",67.57,88.82,
0,1342,8,18,"[7.69, 62.73]",62.73,88.82,
0,1342,9,20,"[81.63, 83.85]",83.85,88.82,
0,1343,0,2,"[10.98, 0.0]",10.98,10.98,
0,1343,1,4,"[5.22, 5.47]",5.47,10.98,
0,1343,2,6,"[5.03, 0.0]",5.03,10.98,
0,1343,3,8,"[0.0, 7.71]",7.71,10.98,
0,1343,4,10,"[47.03, 78.95]",78.95,78.95,
0,1343,5,12,"[82.09, 62.6]",82.09,82.09,
0,1343,6,14,"[68.33, 0.0]",68.33,82.09,
0,1343,7,16,"[28.64, 7.62]",28.64,82.09,
0,1343,8,18,"[74.04, 5.69]",74.04,82.09,
0,1343,9,20,"[86.46, 87.32]",87.32,87.32,
0,1344,0,2,"[0.0, 25.08]",25.08,25.08,
0,1344,1,4,"[5.22, 5.47]",5.47,25.08,
0,1344,2,6,"[5.03, 0.0]",5.03,25.08,
0,1344,3,8,"[0.0, 7.71]",7.71,25.08,
0,1344,4,10,"[47.03, 78.95]",78.95,78.95,
0,1344,5,12,"[82.09, 62.6]",82.09,82.09,
0,1344,6,14,"[68.33, 0.0]",68.33,82.09,
0,1344,7,16,"[28.64, 86.46]",86.46,86.46,
0,1344,8,18,"[74.04, 76.33]",76.33,86.46,
0,1344,9,20,"[30.15, 87.32]",87.32,87.32,
0,1345,0,2,"[4.06, 88.41]",88.41,88.41,
0,1345,1,4,"[5.22, 5.47]",5.47,88.41,
0,1345,2,6,"[5.03, 0.0]",5.03,88.41,
0,1345,3,8,"[0.0, 7.71]",7.71,88.41,
0,1345,4,10,"[47.03, 78.95]",78.95,88.41,
0,1345,5,12,"[82.09, 84.81]",84.81,88.41,
0,1345,6,14,"[1.71, 7.26]",7.26,88.41,
0,1345,7,16,"[80.61, 62.6]",80.61,88.41,
0,1345,8,18,"[24.56, 14.29]",24.56,88.41,
0,1345,9,20,"[68.33, 48.15]",68.33,88.41,
0,1346,0,2,"[51.37, 3.1]",51.37,51.37,
0,1346,1,4,"[5.22, 5.47]",5.47,51.37,
0,1346,2,6,"[5.03, 0.0]",5.03,51.37,
0,1346,3,8,"[0.0, 7.71]",7.71,51.37,
0,1346,4,10,"[42.62, 57.84]",57.84,57.84,
0,1346,5,12,"[24.59, 62.73]",62.73,62.73,
